Carina            0.01975655 15.9337 16.3375 16.8214 17.1517 17.5328 15.5616 15.6577 15.7563 15.8267 15.9224 7.698e-03 2.431e-02 7.452e-02 1.779e-01 3.577e-01 1.172e-03 1.867e-03 3.741e-03 7.496e-03 1.428e-02 
Carina            0.02213075 16.0240 16.4139 16.8691 17.1890 17.5628 15.6577 15.7500 15.8433 15.9104 16.0019 9.374e-03 2.874e-02 8.368e-02 1.942e-01 3.847e-01 1.449e-03 2.290e-03 4.598e-03 9.123e-03 1.726e-02 
Carina            0.02479028 16.1139 16.4885 16.9168 17.2238 17.5889 15.7539 15.8424 15.9299 15.9934 16.0804 1.147e-02 3.371e-02 9.375e-02 2.123e-01 4.115e-01 1.792e-03 2.803e-03 5.638e-03 1.109e-02 2.080e-02 
Carina            0.02776940 16.2038 16.5607 16.9628 17.2594 17.6153 15.8501 15.9343 16.0160 16.0762 16.1575 1.390e-02 3.931e-02 1.050e-01 2.324e-01 4.406e-01 2.215e-03 3.425e-03 6.914e-03 1.346e-02 2.498e-02 
Carina            0.03110654 16.2931 16.6327 17.0094 17.2949 17.6419 15.9458 16.0252 16.1017 16.1589 16.2345 1.680e-02 4.579e-02 1.175e-01 2.540e-01 4.681e-01 2.734e-03 4.177e-03 8.446e-03 1.628e-02 3.002e-02 
Carina            0.03484471 16.3808 16.7023 17.0565 17.3305 17.6690 16.0416 16.1165 16.1875 16.2416 16.3096 2.015e-02 5.350e-02 1.312e-01 2.761e-01 4.988e-01 3.376e-03 5.093e-03 1.029e-02 1.972e-02 3.590e-02 
Carina            0.03903211 16.4671 16.7733 17.1040 17.3655 17.6956 16.1366 16.2065 16.2725 16.3237 16.3863 2.424e-02 6.243e-02 1.463e-01 3.023e-01 5.292e-01 4.156e-03 6.216e-03 1.259e-02 2.380e-02 4.298e-02 
Carina            0.04372272 16.5542 16.8412 17.1506 17.3997 17.7207 16.2305 16.2959 16.3564 16.4054 16.4618 2.893e-02 7.248e-02 1.628e-01 3.307e-01 5.595e-01 5.123e-03 7.579e-03 1.533e-02 2.875e-02 5.120e-02 
Carina            0.04897702 16.6374 16.9085 17.1964 17.4345 17.7435 16.3243 16.3845 16.4403 16.4866 16.5382 3.431e-02 8.388e-02 1.819e-01 3.596e-01 5.929e-01 6.296e-03 9.223e-03 1.859e-02 3.469e-02 6.100e-02 
Carina            0.05486275 16.7211 16.9742 17.2417 17.4685 17.7678 16.4164 16.4723 16.5236 16.5673 16.6146 4.060e-02 9.706e-02 2.036e-01 3.904e-01 6.262e-01 7.736e-03 1.121e-02 2.253e-02 4.166e-02 7.236e-02 
Carina            0.06145578 16.8051 17.0386 17.2855 17.5018 17.7899 16.5070 16.5580 16.6058 16.6481 16.6910 4.824e-02 1.114e-01 2.273e-01 4.234e-01 6.577e-01 9.515e-03 1.361e-02 2.729e-02 5.008e-02 8.560e-02 
Carina            0.06884112 16.8856 17.1022 17.3278 17.5342 17.8129 16.5967 16.6427 16.6875 16.7280 16.7689 5.637e-02 1.276e-01 2.537e-01 4.597e-01 6.889e-01 1.168e-02 1.653e-02 3.310e-02 6.020e-02 1.010e-01 
Carina            0.07711397 16.9672 17.1633 17.3703 17.5659 17.8325 16.6848 16.7262 16.7682 16.8081 16.8477 6.611e-02 1.449e-01 2.833e-01 4.948e-01 7.222e-01 1.432e-02 2.003e-02 4.004e-02 7.190e-02 1.196e-01 
Carina            0.08638100 17.0451 17.2235 17.4111 17.5960 17.8505 16.7701 16.8084 16.8477 16.8875 16.9286 7.706e-02 1.638e-01 3.160e-01 5.326e-01 7.548e-01 1.752e-02 2.423e-02 4.844e-02 8.582e-02 1.406e-01 
Carina            0.09676168 17.1205 17.2821 17.4515 17.6267 17.8663 16.8531 16.8884 16.9264 16.9673 17.0117 8.929e-02 1.852e-01 3.514e-01 5.721e-01 7.875e-01 2.139e-02 2.925e-02 5.830e-02 1.019e-01 1.641e-01 
Carina            0.10838984 17.1941 17.3388 17.4904 17.6550 17.8812 16.9309 16.9655 17.0037 17.0473 17.0958 1.030e-01 2.085e-01 3.889e-01 6.120e-01 8.158e-01 2.613e-02 3.529e-02 6.982e-02 1.205e-01 1.923e-01 
Carina            0.12141539 17.2638 17.3918 17.5284 17.6815 17.8961 17.0043 17.0398 17.0805 17.1283 17.1797 1.181e-01 2.345e-01 4.282e-01 6.517e-01 8.411e-01 3.194e-02 4.267e-02 8.375e-02 1.422e-01 2.232e-01 
Carina            0.13600627 17.3301 17.4433 17.5657 17.7071 17.9090 17.0729 17.1116 17.1567 17.2092 17.2630 1.356e-01 2.610e-01 4.686e-01 6.933e-01 8.663e-01 3.895e-02 5.142e-02 9.985e-02 1.677e-01 2.574e-01 
Carina            0.15235057 17.3927 17.4921 17.6025 17.7323 17.9208 17.1362 17.1804 17.2319 17.2904 17.3463 1.553e-01 2.894e-01 5.119e-01 7.317e-01 8.891e-01 4.740e-02 6.197e-02 1.188e-01 1.962e-01 2.982e-01 
Carina            0.17065902 17.4512 17.5380 17.6377 17.7551 17.9311 17.1955 17.2476 17.3056 17.3705 17.4295 1.780e-01 3.207e-01 5.565e-01 7.697e-01 9.101e-01 5.757e-02 7.435e-02 1.404e-01 2.287e-01 3.421e-01 
Carina            0.19116766 17.5034 17.5821 17.6709 17.7770 17.9419 17.2505 17.3124 17.3783 17.4500 17.5141 2.031e-01 3.528e-01 6.015e-01 8.054e-01 9.293e-01 6.994e-02 8.911e-02 1.659e-01 2.650e-01 3.914e-01 
